Module	Entry Function	Relevant Properties
drivers-hid-hid-aureal-ko_main0.c	main	0
drivers-hid-hid-axff-ko_main0.c	main	0
drivers-hid-hid-belkin-ko_main0.c	main	0
drivers-hid-hid-betopff-ko_main0.c	main	0
drivers-hid-hid-cherry-ko_main0.c	main	0
drivers-hid-hid-chicony-ko_main0.c	main	0
drivers-hid-hid-cp2112-ko_main0.c	main	0
drivers-hid-hid-cypress-ko_main0.c	main	0
drivers-hid-hid-dr-ko_main0.c	main	0
drivers-hid-hid-elecom-ko_main0.c	main	0
drivers-hid-hid-elo-ko_main0.c	main	0
drivers-hid-hid-emsff-ko_main0.c	main	0
drivers-hid-hid-ezkey-ko_main0.c	main	0
drivers-hid-hid-gaff-ko_main0.c	main	0
drivers-hid-hid-generic-ko_main0.c	main	0
drivers-hid-hid-gt683r-ko_main0.c	main	1
drivers-hid-hid-gyration-ko_main0.c	main	0
drivers-hid-hid-holtekff-ko_main0.c	main	0
drivers-hid-hid-holtek-kbd-ko_main0.c	main	0
drivers-hid-hid-holtek-mouse-ko_main0.c	main	0
drivers-hid-hid-huion-ko_main0.c	main	0
drivers-hid-hid-hyperv-ko_main0.c	main	0
drivers-hid-hid-icade-ko_main0.c	main	0
drivers-hid-hid-kensington-ko_main0.c	main	0
drivers-hid-hid-keytouch-ko_main0.c	main	0
drivers-hid-hid-ko_main0.c	main	4
drivers-hid-hid-kye-ko_main0.c	main	0
drivers-hid-hid-lcpower-ko_main0.c	main	0
drivers-hid-hid-lenovo-ko_main0.c	main	0
drivers-hid-hid-logitech-dj-ko_main0.c	main	1
drivers-hid-hid-logitech-hidpp-ko_main0.c	main	1
drivers-hid-hid-magicmouse-ko_main0.c	main	0
drivers-hid-hid-microsoft-ko_main0.c	main	0
drivers-hid-hid-monterey-ko_main0.c	main	0
drivers-hid-hid-multitouch-ko_main0.c	main	0
drivers-hid-hid-ntrig-ko_main0.c	main	0
drivers-hid-hid-ortek-ko_main0.c	main	0
drivers-hid-hid-penmount-ko_main0.c	main	0
drivers-hid-hid-petalynx-ko_main0.c	main	0
drivers-hid-hid-picolcd-ko_main0.c	main	2
drivers-hid-hid-plantronics-ko_main0.c	main	0
drivers-hid-hid-pl-ko_main0.c	main	0
drivers-hid-hid-primax-ko_main0.c	main	0
drivers-hid-hid-prodikeys-ko_main0.c	main	1
drivers-hid-hid-rmi-ko_main0.c	main	1
drivers-hid-hid-roccat-arvo-ko_main0.c	main	1
drivers-hid-hid-roccat-isku-ko_main0.c	main	1
drivers-hid-hid-roccat-ko_main0.c	main	2
drivers-hid-hid-roccat-kone-ko_main0.c	main	1
drivers-hid-hid-roccat-koneplus-ko_main0.c	main	1
drivers-hid-hid-roccat-konepure-ko_main0.c	main	1
drivers-hid-hid-roccat-kovaplus-ko_main0.c	main	1
drivers-hid-hid-roccat-lua-ko_main0.c	main	0
drivers-hid-hid-roccat-pyra-ko_main0.c	main	1
drivers-hid-hid-roccat-ryos-ko_main0.c	main	1
drivers-hid-hid-roccat-savu-ko_main0.c	main	1
drivers-hid-hid-saitek-ko_main0.c	main	0
drivers-hid-hid-samsung-ko_main0.c	main	0
drivers-hid-hid-sensor-hub-ko_main0.c	main	2
drivers-hid-hid-sjoy-ko_main0.c	main	0
drivers-hid-hid-sony-ko_main0.c	main	1
drivers-hid-hid-speedlink-ko_main0.c	main	0
drivers-hid-hid-steelseries-ko_main0.c	main	0
drivers-hid-hid-sunplus-ko_main0.c	main	0
drivers-hid-hid-thingm-ko_main0.c	main	1
drivers-hid-hid-tivo-ko_main0.c	main	0
drivers-hid-hid-tmff-ko_main0.c	main	0
drivers-hid-hid-topseed-ko_main0.c	main	0
drivers-hid-hid-twinhan-ko_main0.c	main	0
drivers-hid-hid-uclogic-ko_main0.c	main	0
drivers-hid-hid-waltop-ko_main0.c	main	0
drivers-hid-hid-xinmo-ko_main0.c	main	0
drivers-hid-hid-zpff-ko_main0.c	main	0
drivers-hid-hid-zydacron-ko_main0.c	main	0
drivers-hid-i2c-hid-i2c-hid-ko_main0.c	main	2
drivers-hid-uhid-ko_main0.c	main	2
drivers-hid-usbhid-usbhid-ko_main0.c	main	5
drivers-hid-usbhid-usbkbd-ko_main0.c	main	2
drivers-hid-usbhid-usbmouse-ko_main0.c	main	2
drivers-hsi-clients-hsi_char-ko_main0.c	main	3
drivers-hsi-hsi-ko_main0.c	main	0
drivers-hv-hv_balloon-ko_main0.c	main	1
drivers-hv-hv_utils-ko_main0.c	main	0
drivers-hv-hv_vmbus-ko_main0.c	main	2
drivers-hwmon-abituguru3-ko_main0.c	main	1
drivers-hwmon-abituguru-ko_main0.c	main	0
drivers-hwmon-acpi_power_meter-ko_main0.c	main	1
drivers-hwmon-ad7314-ko_main0.c	main	0
drivers-hwmon-ad7414-ko_main0.c	main	0
drivers-hwmon-ad7418-ko_main0.c	main	0
drivers-hwmon-adc128d818-ko_main0.c	main	0
drivers-hwmon-adcxx-ko_main0.c	main	1
drivers-hwmon-adm1021-ko_main0.c	main	0
